site,area,city,district,state,region,lat,lon,ne_count
(unknown),North,Shahjahanpur,Shahjahanpur,Uttar Pradesh,North,27.879191,79.925987,41886
LIE,North,Imphal,Imphal West,Manipur,Northeast,24.820517,93.947836,11182
RHK,Hadapsar,Pune,Pune,Maharashtra,West,18.510222,73.848048,10010
WKF,Central,Mathura,Mathura,Uttar Pradesh,North,27.497661,77.674495,9794
WIS,Fatehgunj,Vadodara,Vadodara,Gujarat,West,22.303349,73.19458,9561
GME,North,Kamarhati,North 24 Parganas,West Bengal,East,22.669418,88.379364,9560
EDO,South,Ballari,Ballari,Karnataka,South,15.124621,76.925211,9552
FGN,East,Silchar,Cachar,Assam,Northeast,24.828157,92.764968,9239
HNP,North,Kozhikode,Kozhikode,Kerala,South,11.258043,75.796277,9106
MRP,East,Ratnagiri,Ratnagiri,Maharashtra,West,16.99478,73.287463,8730
LWG,East,Karaikudi,Sivaganga,Tamil Nadu,South,10.074314,78.759075,7442
CAP,City Light,Surat,Surat,Gujarat,West,21.163542,72.846064,7229
MAY,West,Dhanbad,Dhanbad,Jharkhand,East,23.798187,86.419314,7228
ABN,Central,Bhilwara,Bhilwara,Rajasthan,North,25.352067,74.632608,6660
MWO,South,Margao,South Goa,Goa,West,15.270252,73.98816,5835
LTL,South,Jodhpur,Jodhpur,Rajasthan,North,26.22294,73.032833,5761
FWS,North,Ambattur,Tiruvallur,Tamil Nadu,South,13.100814,80.17672,5522
BRY,Cyber City,Gurgaon,Gurugram,Haryana,North,28.469157,77.029798,5428
RFL,East,Davanagere,Davanagere,Karnataka,South,14.470369,75.907551,5387
EDP,South,Thrissur,Thrissur,Kerala,South,10.514321,76.213906,5182
MXA,East,Bhiwandi,Thane,Maharashtra,West,19.301758,73.049773,5132
LDM,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.515367,87.303109,4793
CTD,North,Satara,Satara,Maharashtra,West,17.68031,74.03837,4754
DVI,Central,Karnal,Karnal,Haryana,North,29.69219,76.99201,4623
RBA,West,Kalyan,Thane,Maharashtra,West,19.248563,73.127754,4613
PWK,East,Port Blair,Cuddalore,Tamil Nadu,South,11.74598,79.764422,4566
SCA,Central,Jamshedpur,East Singhbhum,Jharkhand,East,22.813969,86.206591,4375
ERN,Central,Varanasi,Varanasi,Uttar Pradesh,North,25.323719,82.974887,4197
AAS,Central,Tinsukia,Tinsukia,Assam,Northeast,27.498767,95.361621,3939
HUT,Beltola,Guwahati,Kamrup Metro,Assam,Northeast,26.134186,91.718567,3935
BGS,Central,Varanasi,Varanasi,Uttar Pradesh,North,25.329601,82.975583,3928
HDW,South,Jalandhar,Jalandhar,Punjab,North,31.303884,75.580181,3885
ODE,Central,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.189371,79.989427,3869
SIL,North,Ambala,Ambala,Haryana,North,30.377396,76.796364,3834
SSG,East,Aizawl,Aizawl,Mizoram,Northeast,23.721444,92.706062,3810
BOF,East,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.170121,79.984762,3719
PRT,Paltan Bazar,Guwahati,Kamrup Metro,Assam,Northeast,26.146197,91.749192,3718
MYP,East,Gangtok,East Sikkim,Sikkim,Northeast,27.333223,88.594258,3643
RDG,South,Kohima,Kohima,Nagaland,Northeast,25.659261,94.114284,3627
DKF,South,Ballari,Ballari,Karnataka,South,15.117541,76.916978,3592
ITO,Central,Nadiad,Kheda,Gujarat,West,22.699461,72.864469,3577
ETR,East,Margao,South Goa,Goa,West,15.281392,73.979126,3233
WAC,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.514776,87.324495,3129
NFD,Fort Kochi,Kochi,Ernakulam,Kerala,South,9.934023,76.276329,3043
QWD,West,Ludhiana,Ludhiana,Punjab,North,30.909124,75.843002,2997
RBH,North,Roorkee,Haridwar,Uttarakhand,North,29.85045,77.897454,2928
NIG,North,Silchar,Cachar,Assam,Northeast,24.836099,92.79775,2806
FLD,East,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.17114,79.984426,2764
SPS,West,Amritsar,Amritsar,Punjab,North,31.633518,74.853164,2686
SAD,Vannarpet,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.713741,77.74708,2616
CWE,North,Shahjahanpur,Shahjahanpur,Uttar Pradesh,North,27.884017,79.924556,2548
CUR,East,Bokaro Steel City,Bokaro,Jharkhand,East,23.66452,86.135368,2543
SCT,Palayamkottai,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.697896,77.760454,2461
SVL,Central,Kanpur,Kanpur Nagar,Uttar Pradesh,North,26.455342,80.328377,2284
LON,North,Imphal,Imphal West,Manipur,Northeast,24.822881,93.949073,2243
POA,Jaydev Vihar,Bhubaneswar,Khordha,Odisha,East,20.308843,85.807509,2214
KSD,East,Itanagar,Papum Pare,Arunachal Pradesh,Northeast,27.101465,93.598615,2037
BIS,North,Sambalpur,Sambalpur,Odisha,East,21.46276,83.988441,2011
SGV,Thillai Nagar,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.769827,78.704617,1963
EDV,East,Junagadh,Junagadh,Gujarat,West,21.521444,70.447122,1950
SAM,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.504102,87.317291,1869
DRK,Periya Semur,Erode,Erode,Tamil Nadu,South,11.337192,77.732313,1848
